ID_Gunung,Nama_Gunung,Lokasi_Kabupaten,Ketinggian_MDPL,Tingkat_Kesulitan_Pendakian,Cocok_Untuk_Pemula,Durasi_Pendakian_Hari,Budget_Per_Orang_Rupiah,Jumlah_Pos_Pendakian,Keberadaan_Sumber_Air,Fitur_Utama_Objek_Wisata,Karakteristik_Jalur,Fasilitas_Basecamp,Akses_Transportasi,Pemandangan_Utama,Musim_Terbaik_Kunjungan,Rating_Rata_Rata
15,Argoyayang,Jombang; Malang,2162,Sedang,Ya,1,300000,3,Tergantung Musim,Gurun pasir,"Jalur curam di beberapa titik, Jalur berpasir vulkanik","Area camping, Basecamp dasar, Petugas siaga",Membutuhkan kendaraan pribadi,Sunset view,Musim Semi,2.6
16,Baluran,Situbondo,1247,Mudah,Ya,1,200000,1,Tidak,"Jalur populer, Situs purbakala","Jalur landai, Mendaki punggungan bukit, Jalur aman dan terpelihara","Mushola, Penyewaan alat camping, Toilet",Mudah dijangkau kendaraan umum,Pemandangan danau,Hindari Musim Hujan,4.0
17,Welirang,Batu; Pasuruan; Mojokerto,3156,Sulit,Tidak,4,1200000,6,Tergantung Musim,"Pasir vulkanik, View matahari terbit, Pemandangan kota dari ketinggian","Jalur curam di beberapa titik, Melintasi padang edelweis",Pusat informasi,Membutuhkan ojek lokal,Pemandangan kota,Hindari Musim Hujan,4.0
18,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,1,200000,0,Tidak,"Kawah belerang, Savana hijau",Jalur landai,"Pusat informasi, Pos pendakian lengkap, Area parkir",Membutuhkan kendaraan pribadi,Hutan hijau lebat,Musim Kemarau Awal,3.2
19,Suket,Bondowoso; Banyuwangi,2950,Sulit,Tidak,3,900000,4,Ya,"Danau indah, Banyak air terjun kecil","Medan terbuka tanpa naungan, Hutan lebat dan lembab, Melewati sungai kecil","Basecamp dasar, Warung",Jalur pedesaan yang sempit,Savana,Kemarau,3.4
20,Berungkal,Lumajang,1040,Mudah,Ya,2,200000,0,Tidak,"Lautan pasir, Puncak tertinggi, Jalur utama","Mendaki punggungan bukit, Jalur berlumpur, Jalur berpasir vulkanik","Toilet, Pos pendakian lengkap, Shelter",Jalur pedesaan yang sempit,Sunset view,Musim Kemarau Awal,2.5
21,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sedang,Ya,2,300000,3,Tidak,"Puncak ikonik, Pemandangan kawah",Jalur panjang dan melelahkan,Penginapan sederhana,Jalur pedesaan yang sempit,Pemandangan kota,Kemarau,4.3
22,Kawi,Malang,2551,Sedang,Tidak,3,450000,4,Tidak,"Padang savana luas, Gurun pasir, Jalur alternatif",Melintasi jalur rel kereta api tua,"Area camping, Shelter",Membutuhkan ojek lokal,Savana,Sepanjang Tahun,3.8
23,Penanggungan,Mojokerto; Pasuruan,1653,Sedang,Tidak,3,450000,4,Tidak,Pemandangan kota dari ketinggian,"Melintasi padang edelweis, Tangga alami","Pos pendakian lengkap, Shelter","Akses sulit, perlu off-road",Pemandangan danau,Musim Kemarau Awal,4.0
24,Ijen,Banyuwangi,2386,Mudah,Ya,2,100000,0,Tidak,Jalur alternatif,Beberapa tanjakan curam,Area camping,"Akses sulit, perlu off-road",Pemandangan laut,Kemarau,5.0
25,Lawu,Magetan,3265,Sulit,Tidak,4,600000,4,Ya,Flora dan fauna unik,"Jalur aman dan terpelihara, Medan terbuka tanpa naungan","Penginapan sederhana, Sumber air",Membutuhkan ojek lokal,Hutan hijau lebat,Sepanjang Tahun,4.5
26,Ijen,Banyuwangi,2386,Sedang,Tidak,2,600000,2,Tidak,"Pasir vulkanik, Candi kuno",Medan terbuka tanpa naungan,Pos pendakian lengkap,Mudah dijangkau kendaraan umum,Pemandangan perkebunan,Hindari Musim Hujan,4.2
27,Lawu,Magetan,3265,Sulit,Tidak,3,900000,5,Tergantung Musim,"Jalur menantang, Artefak kuno","Tanjakan terjal, Jalur panjang dan melelahkan, Melewati sungai kecil","Warung, Basecamp dasar",Membutuhkan kendaraan pribadi,Pemandangan pegunungan,Musim Semi,4.8
28,Baluran,Situbondo,1247,Mudah,Ya,1,100000,2,Tidak,"Hamparan savana, Spot sunrise terbaik, Budaya lokal kental","Melintasi jalur rel kereta api tua, Jalur aman dan terpelihara, Banyak bonus pemandangan",Warung,Dekat jalan raya utama,Hutan hijau lebat,Musim Semi,3.8
29,Butak,Malang; Blitar,2868,Sedang,Tidak,3,600000,4,Tergantung Musim,"Candi kuno, Adat istiadat unik, Hamparan savana","Tangga alami, Melintasi padang edelweis",Toilet,Membutuhkan ojek lokal,Pemandangan perkebunan,Hindari Musim Hujan,3.8
30,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,1,200000,1,Tidak,Banyak air terjun kecil,"Medan berbatu, Tangga alami, Tanjakan terjal","Petugas siaga, Warung, Area parkir",Membutuhkan ojek lokal,Savana,Musim Semi,2.7
31,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sedang,Tidak,2,300000,4,Tidak,"Puncak ikonik, Adat istiadat unik, Kawah aktif",Jalur berpasir vulkanik,Warung,Jalur pedesaan yang sempit,Pemandangan danau,Musim Kemarau Awal,4.2
32,Penanggungan,Mojokerto; Pasuruan,1653,Sedang,Ya,3,300000,2,Tergantung Musim,"Hamparan savana, Jalur menantang",Jalur landai,Penginapan sederhana,Mudah dijangkau kendaraan umum,Pemandangan perkebunan,Sepanjang Tahun,4.2
33,Butak,Malang; Blitar,2868,Sedang,Tidak,1,300000,3,Tergantung Musim,"Artefak kuno, Jalur populer",Trek berbatu,"Jasa porter, Area camping, Pusat informasi",Membutuhkan kendaraan pribadi,Savana,Musim Semi,3.6
34,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sulit,Tidak,4,1200000,6,Ya,"Panorama kota, Jalur utama, Padang savana luas",Beberapa tanjakan curam,"Mushola, Warung",Dekat jalan raya utama,Pemandangan perkebunan,Hindari Musim Hujan,3.9
35,Argopuro,Probolinggo; Lumajang; Jember; Bondowoso; Situbondo,3088,Sulit,Tidak,3,900000,5,Ya,"Puncak tertinggi, Hutan lebat","Jalur curam di beberapa titik, Trek berbatu, Medan berbatu","Penginapan sederhana, Toilet",Mudah dijangkau kendaraan umum,Pemandangan kawah,Kemarau,4.7
36,Berungkal,Lumajang,1040,Mudah,Ya,1,100000,2,Tidak,Desa adat,Jalur landai,"Basecamp dasar, Petugas siaga",Dekat jalan raya utama,Pemandangan pegunungan,Kemarau,2.9
37,Lawu,Magetan,3265,Sulit,Tidak,2,900000,5,Tergantung Musim,"Kawah aktif, Hutan hujan tropis, Ranu Kumbolo","Melintasi padang edelweis, Hutan lebat dan lembab, Banyak bonus pemandangan","Sumber air, Area camping","Akses sulit, perlu off-road",Pemandangan kota,Musim Kemarau Awal,4.7
38,Berungkal,Lumajang,1040,Mudah,Ya,1,100000,1,Tidak,City lights,"Jalur berpasir vulkanik, Tangga alami","Penginapan sederhana, Petugas siaga",Mudah dijangkau kendaraan umum,Sunset view,Musim Semi,2.9
39,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sedang,Ya,3,450000,2,Tidak,"Pasir vulkanik, Hutan lebat, Pemandangan kawah","Jalur berlumpur, Jalur berpasir vulkanik",Mushola,Mudah dijangkau kendaraan umum,Savana,Sepanjang Tahun,4.0
40,Ranti,Bondowoso; Banyuwangi,2601,Sedang,Ya,2,600000,2,Tergantung Musim,"Adat istiadat unik, Pemandangan kawah, Pemandangan sunrise","Melintasi padang edelweis, Tanjakan terjal","Penginapan sederhana, Pusat informasi","Akses sulit, perlu off-road",Pemandangan laut,Musim Semi,3.2
41,Welirang,Batu; Pasuruan; Mojokerto,3156,Sulit,Tidak,3,1200000,5,Tergantung Musim,"Pasir vulkanik, Kawah belerang","Area padang rumput, Jalur panjang dan melelahkan","Pusat informasi, Toilet, Sumber air",Dekat jalan raya utama,Pemandangan perkebunan,Sepanjang Tahun,3.9
42,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sedang,Ya,3,450000,2,Tergantung Musim,"Artefak kuno, Hamparan savana, Puncak kembar","Jalur aman dan terpelihara, Melewati sungai kecil","Area parkir, Jasa porter, Petugas siaga",Membutuhkan ojek lokal,Savana,Kemarau,3.8
43,Bromo,Probolinggo; Lumajang; Malang,2329,Mudah,Ya,1,300000,0,Tidak,Hutan lebat,Variasi medan dataran rendah,"Toilet, Sumber air, Pusat informasi","Akses sulit, perlu off-road",Pemandangan pegunungan,Sepanjang Tahun,4.5
44,Penanggungan,Mojokerto; Pasuruan,1653,Sedang,Tidak,1,300000,4,Tidak,"Jalur alternatif, Panorama kota, Flora dan fauna unik","Jalur curam di beberapa titik, Banyak bonus pemandangan, Medan terbuka tanpa naungan",Sumber air,Dekat jalan raya utama,Pemandangan kota,Musim Kemarau Awal,3.7
45,Panderman,Batu,2045,Sedang,Tidak,3,450000,2,Tidak,"Candi kuno, Pemandangan kota dari ketinggian","Jalur panjang dan melelahkan, Beberapa tanjakan curam","Toilet, Shelter",Membutuhkan ojek lokal,Pemandangan perkebunan,Kemarau,3.8
46,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,2,200000,2,Tidak,Padang savana luas,"Jalur curam di beberapa titik, Medan terbuka tanpa naungan","Shelter, Area camping, Pusat informasi",Dekat jalan raya utama,Savana,Hindari Musim Hujan,2.8
47,Ijen,Banyuwangi,2386,Sedang,Tidak,1,600000,3,Tidak,"Kawah aktif, Candi kuno, Hutan hujan tropis",Jalur landai,Area parkir,Mudah dijangkau kendaraan umum,Hutan hijau lebat,Hindari Musim Hujan,4.9
48,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,2,300000,1,Tidak,"Gurun pasir, Air terjun tersembunyi","Medan berbatu, Hutan lebat dan lembab","Penginapan sederhana, Petugas siaga",Membutuhkan ojek lokal,Savana,Kemarau,3.3
49,Semeru,Malang; Lumajang,3676,Sulit,Tidak,3,600000,6,Ya,Hutan lebat,"Variasi medan dataran rendah, Jalur berpasir vulkanik","Penginapan sederhana, Area camping, Basecamp dasar",Dekat jalan raya utama,Pemandangan kota,Hindari Musim Hujan,4.7
50,Blorobrubuh,Mojokerto,2282,Mudah,Ya,2,300000,1,Tidak,Air terjun tersembunyi,"Hutan lebat dan lembab, Medan terbuka tanpa naungan, Medan berbatu","Jasa porter, Basecamp dasar, Shelter",Membutuhkan ojek lokal,Pemandangan perkebunan,Hindari Musim Hujan,3.4
51,Bromo,Probolinggo; Lumajang; Malang,2329,Sedang,Ya,1,600000,2,Tergantung Musim,"Banyak air terjun kecil, Budaya lokal kental",Jalur panjang dan melelahkan,"Toilet, Petugas siaga",Mudah dijangkau kendaraan umum,Pemandangan kawah,Hindari Musim Hujan,4.9
52,Ijen,Banyuwangi,2386,Sedang,Ya,1,300000,2,Tidak,Hutan pinus,"Jalur curam di beberapa titik, Medan berbatu, Area padang rumput","Jasa porter, Warung",Membutuhkan kendaraan pribadi,Pemandangan perkebunan,Musim Semi,4.8
53,Suket,Bondowoso; Banyuwangi,2950,Sulit,Tidak,3,600000,6,Ya,Pemandangan kota dari ketinggian,"Jalur aman dan terpelihara, Medan berbatu, Hutan lebat dan lembab",Pos pendakian lengkap,Membutuhkan ojek lokal,Pemandangan kota,Sepanjang Tahun,3.3
54,Arjuno,Malang,3339,Sulit,Tidak,4,900000,6,Tergantung Musim,"Kawah vulkanik, Pemandangan sunrise, Air terjun tersembunyi","Jalur landai, Area padang rumput, Melintasi padang edelweis","Toilet, Sumber air",Membutuhkan ojek lokal,Pemandangan danau,Hindari Musim Hujan,4.8
55,Bromo,Probolinggo; Lumajang; Malang,2329,Mudah,Ya,2,300000,2,Tidak,"Situs purbakala, Bukit savana, Puncak kembar","Jalur curam di beberapa titik, Melintasi padang edelweis, Medan berbatu","Jasa porter, Penyewaan alat camping",Mudah dijangkau kendaraan umum,Pemandangan laut,Musim Kemarau Awal,4.5
56,Panderman,Batu,2045,Mudah,Ya,2,300000,0,Tidak,Budaya lokal kental,"Jalur licin saat hujan, Medan terbuka tanpa naungan, Melintasi padang edelweis",Area parkir,Dekat jalan raya utama,Pemandangan kota,Musim Kemarau Awal,3.5
57,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,2,200000,2,Tidak,"Savana hijau, Puncak kembar, Candi kuno","Jalur curam di beberapa titik, Jalur aman dan terpelihara","Mushola, Jasa porter, Area camping",Membutuhkan kendaraan pribadi,Pemandangan danau,Musim Kemarau Awal,2.8
58,Argopuro,Probolinggo; Lumajang; Jember; Bondowoso; Situbondo,3088,Sulit,Tidak,3,1200000,5,Ya,Jalur populer,"Hutan lebat dan lembab, Trek berbatu, Variasi medan dataran rendah","Toilet, Sumber air, Area parkir",Mudah dijangkau kendaraan umum,Savana,Musim Kemarau Awal,4.2
59,Panderman,Batu,2045,Mudah,Ya,2,200000,2,Tidak,"Situs purbakala, Pemandangan kota dari ketinggian","Jalur panjang dan melelahkan, Melintasi jalur rel kereta api tua","Penyewaan alat camping, Petugas siaga, Area parkir",Membutuhkan kendaraan pribadi,Pemandangan danau,Sepanjang Tahun,3.5
60,Kawi,Malang,2551,Sedang,Ya,3,600000,2,Tergantung Musim,"Pemandangan kota dari ketinggian, Jalur alternatif, Air terjun alami",Jalur panjang dan melelahkan,Penyewaan alat camping,Membutuhkan kendaraan pribadi,Pemandangan kawah,Musim Semi,3.6
61,Panderman,Batu,2045,Sedang,Ya,2,300000,2,Tergantung Musim,"Budaya lokal kental, Danau indah","Tangga alami, Mendaki punggungan bukit, Melewati sungai kecil","Toilet, Shelter","Akses sulit, perlu off-road",Savana,Kemarau,3.8
62,Lawu,Magetan,3265,Sulit,Tidak,3,600000,4,Ya,"Gurun pasir, Hutan lebat","Medan terbuka tanpa naungan, Banyak bonus pemandangan",Penyewaan alat camping,Mudah dijangkau kendaraan umum,Sunset view,Kemarau,4.6
63,Anjasmoro,Jombang; Mojokerto; Kediri; Malang; Batu,2282,Mudah,Ya,1,200000,0,Tidak,"Hutan pinus, Spot sunrise terbaik","Hutan lebat dan lembab, Jalur berlumpur, Area padang rumput","Sumber air, Shelter",Membutuhkan ojek lokal,Pemandangan perkebunan,Musim Kemarau Awal,3.3
64,Blorobrubuh,Mojokerto,2282,Sedang,Ya,2,450000,3,Tergantung Musim,"City lights, Savana hijau","Melintasi jalur rel kereta api tua, Beberapa tanjakan curam",Penginapan sederhana,Mudah dijangkau kendaraan umum,Hutan hijau lebat,Sepanjang Tahun,3.4
65,Semeru,Malang; Lumajang,3676,Sulit,Tidak,2,900000,5,Ya,Padang savana luas,"Jalur aman dan terpelihara, Tangga alami","Petugas siaga, Sumber air",Membutuhkan ojek lokal,Pemandangan kawah,Kemarau,4.4
66,Bromo,Probolinggo; Lumajang; Malang,2329,Sedang,Ya,2,450000,2,Tidak,Pasir vulkanik,"Jalur aman dan terpelihara, Medan terbuka tanpa naungan, Hutan lebat dan lembab","Jasa porter, Mushola",Dekat jalan raya utama,Pemandangan pegunungan,Musim Kemarau Awal,4.8
67,Liman,Ponorogo; Nganjuk,2563,Sedang,Ya,3,300000,3,Tidak,Pemandangan kawah,"Jalur berpasir vulkanik, Tangga alami, Jalur curam di beberapa titik","Basecamp dasar, Mushola",Membutuhkan ojek lokal,Pemandangan pegunungan,Hindari Musim Hujan,3.9
68,Butak,Malang; Blitar,2868,Sulit,Tidak,4,1200000,6,Ya,Kawah aktif,"Jalur aman dan terpelihara, Trek berbatu, Medan berbatu","Penginapan sederhana, Mushola",Membutuhkan kendaraan pribadi,Pemandangan kota,Musim Semi,4.0
69,Penanggungan,Mojokerto; Pasuruan,1653,Mudah,Ya,2,200000,1,Tidak,"Budaya lokal kental, Candi kuno","Jalur panjang dan melelahkan, Tangga alami","Toilet, Pusat informasi",Membutuhkan kendaraan pribadi,Savana,Kemarau,3.9
70,Ranti,Bondowoso; Banyuwangi,2601,Sedang,Tidak,1,450000,2,Tidak,Flora dan fauna unik,Jalur curam di beberapa titik,Penyewaan alat camping,Mudah dijangkau kendaraan umum,Pemandangan laut,Hindari Musim Hujan,3.3
71,Kawi,Malang,2551,Sedang,Ya,2,600000,2,Tergantung Musim,"Kawah belerang, Jalur populer","Tangga alami, Melintasi jalur rel kereta api tua","Jasa porter, Penyewaan alat camping, Sumber air",Jalur pedesaan yang sempit,Sunset view,Musim Kemarau Awal,3.5
72,Bromo,Probolinggo; Lumajang; Malang,2329,Mudah,Ya,1,100000,1,Tidak,"Artefak kuno, Hamparan savana","Tanjakan terjal, Jalur berpasir vulkanik",Shelter,Dekat jalan raya utama,Sunset view,Musim Kemarau Awal,5.0
73,Ranti,Bondowoso; Banyuwangi,2601,Sedang,Ya,1,600000,2,Tergantung Musim,"Air terjun alami, Danau indah, Budaya lokal kental","Tanjakan terjal, Trek berbatu","Mushola, Area camping, Pusat informasi",Jalur pedesaan yang sempit,Pemandangan pegunungan,Musim Semi,3.5
74,Kawi,Malang,2551,Sulit,Tidak,4,1200000,4,Tergantung Musim,"Air terjun alami, Lautan pasir, Hamparan savana",Jalur aman dan terpelihara,"Pusat informasi, Sumber air",Membutuhkan kendaraan pribadi,Pemandangan perkebunan,Kemarau,3.8
75,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,2,100000,1,Tidak,"Ranu Kumbolo, Puncak ikonik, Jalur utama",Jalur curam di beberapa titik,Mushola,Dekat jalan raya utama,Pemandangan danau,Sepanjang Tahun,2.7
76,Baluran,Situbondo,1247,Mudah,Ya,2,300000,2,Tidak,Kawah aktif,"Beberapa tanjakan curam, Tanjakan terjal","Area camping, Warung",Dekat jalan raya utama,Pemandangan perkebunan,Kemarau,3.9
77,Argoyayang,Jombang; Malang,2162,Mudah,Ya,1,200000,2,Tidak,"Panorama kota, Bukit savana","Jalur landai, Melintasi jalur rel kereta api tua","Sumber air, Toilet, Petugas siaga",Dekat jalan raya utama,Pemandangan danau,Musim Semi,3.3
78,Ijen,Banyuwangi,2386,Sedang,Ya,1,300000,4,Tidak,"Situs purbakala, Puncak ikonik, Hutan lebat","Jalur aman dan terpelihara, Medan terbuka tanpa naungan",Penyewaan alat camping,"Akses sulit, perlu off-road",Pemandangan pegunungan,Musim Kemarau Awal,4.3
79,Blorobrubuh,Mojokerto,2282,Mudah,Ya,2,200000,1,Tidak,Air terjun tersembunyi,"Jalur curam di beberapa titik, Medan terbuka tanpa naungan",Area camping,Jalur pedesaan yang sempit,Pemandangan laut,Hindari Musim Hujan,3.0
80,Butak,Malang; Blitar,2868,Sedang,Tidak,2,600000,3,Tidak,"Air terjun tersembunyi, Danau indah","Trek berbatu, Area padang rumput, Jalur berlumpur","Pos pendakian lengkap, Warung, Mushola",Jalur pedesaan yang sempit,Pemandangan pegunungan,Musim Semi,3.3
81,Liman,Ponorogo; Nganjuk,2563,Sedang,Ya,1,300000,3,Tidak,Air terjun alami,"Melintasi jalur rel kereta api tua, Hutan lebat dan lembab, Jalur aman dan terpelihara",Toilet,Dekat jalan raya utama,Savana,Kemarau,3.9
82,Suket,Bondowoso; Banyuwangi,2950,Sulit,Tidak,4,600000,5,Tergantung Musim,"Situs purbakala, Air terjun tersembunyi, Pemandangan kota dari ketinggian",Variasi medan dataran rendah,Mushola,Membutuhkan kendaraan pribadi,Hutan hijau lebat,Musim Semi,3.1
83,Semeru,Malang; Lumajang,3676,Sulit,Tidak,4,1200000,6,Tergantung Musim,"Hutan pinus, Hamparan savana, Adat istiadat unik","Melintasi jalur rel kereta api tua, Medan berbatu, Trek berbatu",Basecamp dasar,Dekat jalan raya utama,Pemandangan kota,Musim Semi,5.0
84,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sedang,Ya,1,600000,3,Tidak,"Hutan lebat, Pemandangan kawah","Jalur aman dan terpelihara, Medan terbuka tanpa naungan, Melewati sungai kecil",Petugas siaga,Mudah dijangkau kendaraan umum,Hutan hijau lebat,Hindari Musim Hujan,4.2
85,Welirang,Batu; Pasuruan; Mojokerto,3156,Sulit,Tidak,4,900000,6,Tergantung Musim,View matahari terbit,"Jalur licin saat hujan, Mendaki punggungan bukit",Area camping,Mudah dijangkau kendaraan umum,Pemandangan kota,Kemarau,3.8
86,Kelud,Kediri; Blitar; Malang,1731,Sedang,Ya,2,600000,3,Tergantung Musim,"Pemandangan kawah, City lights, Puncak tertinggi","Banyak bonus pemandangan, Area padang rumput","Basecamp dasar, Sumber air, Petugas siaga",Membutuhkan ojek lokal,Pemandangan laut,Musim Kemarau Awal,3.8
87,Arjuno,Malang,3339,Sulit,Tidak,3,900000,4,Ya,"Bukit savana, Air terjun alami, Pasir vulkanik","Jalur berpasir vulkanik, Medan berbatu",Jasa porter,Dekat jalan raya utama,Savana,Musim Semi,4.0
88,Panderman,Batu,2045,Sedang,Ya,2,300000,2,Tidak,"City lights, Pemandangan sunrise","Tangga alami, Banyak bonus pemandangan, Medan terbuka tanpa naungan","Pusat informasi, Area camping",Mudah dijangkau kendaraan umum,Hutan hijau lebat,Kemarau,3.6
89,Panderman,Batu,2045,Sedang,Ya,1,300000,4,Tidak,Gurun pasir,"Jalur aman dan terpelihara, Melewati sungai kecil","Penginapan sederhana, Area camping",Jalur pedesaan yang sempit,Pemandangan kawah,Sepanjang Tahun,3.5
90,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,1,100000,1,Tidak,"Air terjun alami, Jalur utama, Desa adat","Jalur landai, Melewati sungai kecil",Jasa porter,"Akses sulit, perlu off-road",Pemandangan pegunungan,Sepanjang Tahun,3.5
91,Berungkal,Lumajang,1040,Mudah,Ya,1,200000,1,Tidak,"Jalur populer, View matahari terbit",Jalur panjang dan melelahkan,"Mushola, Warung, Basecamp dasar",Mudah dijangkau kendaraan umum,Pemandangan laut,Musim Kemarau Awal,3.3
92,Semeru,Malang; Lumajang,3676,Sulit,Tidak,3,600000,5,Ya,"Flora dan fauna unik, Jalur utama, Air terjun tersembunyi","Mendaki punggungan bukit, Variasi medan dataran rendah, Melintasi jalur rel kereta api tua","Basecamp dasar, Penyewaan alat camping, Penginapan sederhana",Membutuhkan ojek lokal,Hutan hijau lebat,Hindari Musim Hujan,4.7
93,Baluran,Situbondo,1247,Mudah,Ya,1,300000,1,Tidak,"Situs purbakala, Jalur utama, Banyak air terjun kecil",Jalur licin saat hujan,"Mushola, Pusat informasi, Penyewaan alat camping",Membutuhkan ojek lokal,Sunset view,Sepanjang Tahun,3.1
94,Argoyayang,Jombang; Malang,2162,Sedang,Ya,1,600000,2,Tidak,Savana hijau,"Melintasi jalur rel kereta api tua, Jalur curam di beberapa titik, Medan berbatu","Shelter, Pusat informasi",Jalur pedesaan yang sempit,Pemandangan kawah,Musim Kemarau Awal,3.4
95,Baluran,Situbondo,1247,Mudah,Ya,1,300000,0,Tidak,"Banyak air terjun kecil, Danau alami, Pasir vulkanik","Jalur aman dan terpelihara, Jalur berlumpur, Tanjakan terjal","Area parkir, Pusat informasi, Pos pendakian lengkap",Mudah dijangkau kendaraan umum,Pemandangan perkebunan,Hindari Musim Hujan,3.2
96,Betiri,Jember; Banyuwangi,1233,Mudah,Ya,2,300000,2,Tidak,Budaya lokal kental,"Area padang rumput, Banyak bonus pemandangan",Area camping,Membutuhkan ojek lokal,Pemandangan perkebunan,Musim Kemarau Awal,2.8
