ID_Gunung,Nama_Gunung,Lokasi_Kabupaten,Ketinggian_MDPL,Tingkat_Kesulitan_Pendakian,Cocok_Untuk_Pemula,Durasi_Pendakian_Hari,Budget_Per_Orang_Rupiah,Jumlah_Pos_Pendakian,Keberadaan_Sumber_Air,Fitur_Utama_Objek_Wisata,Karakteristik_Jalur,Fasilitas_Basecamp,Akses_Transportasi,Pemandangan_Utama,Musim_Terbaik_Kunjungan,Rating_Rata_Rata
12,Betiri,Jember; Banyuwangi,1233,Mudah,Ya,2,250000,3,Tidak,Savana hijau,"Trek berbatu, Beberapa tanjakan curam, Tangga alami","Area camping, Sumber air","Akses sulit, perlu off-road",Pemandangan perkebunan,Musim Semi,2.6
13,Baluran,Situbondo,1247,Sangat Mudah,Tidak,1,150000,1,Tidak,Desa adat,"Jalur aman dan terpelihara, Melintasi jalur rel kereta api tua, Mendaki punggungan bukit","Shelter, Pusat informasi, Petugas siaga",Dekat jalan raya utama,Pemandangan kota,Musim Semi,3.1
14,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sulit,Tidak,3,400000,4,Tergantung Musim,"Gurun pasir, Puncak ikonik, Pemandangan kota dari ketinggian",Melintasi jalur rel kereta api tua,Pusat informasi,Membutuhkan kendaraan pribadi,Pemandangan pegunungan,Sepanjang Tahun,3.9
15,Penanggungan,Mojokerto; Pasuruan,1653,Sedang,Tidak,2,350000,3,Tidak,Candi kuno,"Melewati sungai kecil, Jalur berpasir vulkanik, Jalur berlumpur","Warung, Petugas siaga",Mudah dijangkau kendaraan umum,Hutan hijau lebat,Musim Semi,3.7
16,Baluran,Situbondo,1247,Sangat Mudah,Tidak,1,100000,1,Tidak,Pemandangan kawah,"Jalur aman dan terpelihara, Melintasi padang edelweis","Area parkir, Pos pendakian lengkap","Akses sulit, perlu off-road",Pemandangan perkebunan,Kemarau,3.6
17,Penanggungan,Mojokerto; Pasuruan,1653,Mudah,Ya,2,150000,3,Tidak,"Danau indah, Air terjun alami",Medan berbatu,"Warung, Jasa porter, Area camping",Membutuhkan ojek lokal,Pemandangan danau,Musim Kemarau Awal,4.3
18,Suket,Bondowoso; Banyuwangi,2950,Sulit,Tidak,2,750000,4,Ya,Adat istiadat unik,Jalur panjang dan melelahkan,"Area camping, Shelter, Jasa porter","Akses sulit, perlu off-road",Sunset view,Musim Kemarau Awal,3.6
19,Blorobrubuh,Mojokerto,2282,Sedang,Ya,1,350000,2,Tergantung Musim,Hutan lebat,"Hutan lebat dan lembab, Jalur berpasir vulkanik","Basecamp dasar, Pusat informasi, Sumber air",Jalur pedesaan yang sempit,Pemandangan laut,Hindari Musim Hujan,3.1
20,Bromo,Probolinggo; Lumajang; Malang,2329,Mudah,Ya,1,250000,2,Tidak,"Pemandangan kawah, Puncak ikonik",Melintasi jalur rel kereta api tua,"Mushola, Petugas siaga","Akses sulit, perlu off-road",Pemandangan laut,Sepanjang Tahun,4.6
21,Raung,Bondowoso; Jember; Banyuwangi,3244,Sulit,Tidak,3,750000,5,Ya,Jalur alternatif,"Melintasi jalur rel kereta api tua, Variasi medan dataran rendah, Jalur aman dan terpelihara","Toilet, Mushola",Membutuhkan ojek lokal,Sunset view,Kemarau,4.9
22,Lawu,Magetan,3265,Sangat Sulit,Tidak,4,1500000,5,Tidak,Danau kawah,Jalur curam di beberapa titik,Shelter,Membutuhkan kendaraan pribadi,Pemandangan kawah,Kemarau,4.8
23,Kelud,Kediri; Blitar; Malang,1731,Sedang,Tidak,2,250000,3,Tergantung Musim,Pasir vulkanik,"Area padang rumput, Hutan lebat dan lembab, Jalur berpasir vulkanik",Penyewaan alat camping,"Akses sulit, perlu off-road",Pemandangan perkebunan,Musim Semi,4.0
24,Raung,Bondowoso; Jember; Banyuwangi,3244,Sangat Sulit,Tidak,3,1500000,6,Tidak,"Artefak kuno, Bukit savana","Banyak bonus pemandangan, Hutan lebat dan lembab","Area camping, Mushola","Akses sulit, perlu off-road",Hutan hijau lebat,Hindari Musim Hujan,4.8
25,Ranti,Bondowoso; Banyuwangi,2601,Sulit,Tidak,2,400000,5,Ya,Matahari terbit,"Jalur curam di beberapa titik, Beberapa tanjakan curam, Tangga alami",Sumber air,Mudah dijangkau kendaraan umum,Sunset view,Kemarau,3.6
26,Semeru,Malang; Lumajang,3676,Sangat Sulit,Tidak,4,1500000,6,Tidak,"Air terjun alami, Puncak tertinggi, Hutan hujan tropis","Tanjakan terjal, Hutan lebat dan lembab, Jalur berlumpur","Jasa porter, Pusat informasi, Shelter",Jalur pedesaan yang sempit,Hutan hijau lebat,Hindari Musim Hujan,4.7
27,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sulit,Tidak,3,600000,4,Tergantung Musim,"Hutan lebat, Jalur populer","Jalur curam di beberapa titik, Medan terbuka tanpa naungan, Jalur panjang dan melelahkan","Petugas siaga, Toilet, Area parkir",Membutuhkan ojek lokal,Pemandangan pegunungan,Hindari Musim Hujan,4.1
28,Kawi,Malang,2551,Sulit,Tidak,3,400000,5,Ya,"Desa adat, Flora dan fauna unik",Jalur panjang dan melelahkan,Toilet,Dekat jalan raya utama,Pemandangan kawah,Musim Semi,4.3
29,Argopuro,Probolinggo; Lumajang; Jember; Bondowoso; Situbondo,3088,Sulit,Tidak,2,750000,4,Tergantung Musim,Air terjun tersembunyi,"Jalur curam di beberapa titik, Jalur panjang dan melelahkan",Pos pendakian lengkap,"Akses sulit, perlu off-road",Pemandangan pegunungan,Musim Kemarau Awal,4.4
30,Arjuno,Malang,3339,Sangat Sulit,Tidak,5,700000,6,Tidak,"Danau indah, Situs purbakala, Kawah aktif","Trek berbatu, Jalur berpasir vulkanik",Jasa porter,Membutuhkan kendaraan pribadi,Pemandangan laut,Sepanjang Tahun,4.9
31,Welirang,Batu; Pasuruan; Mojokerto,3156,Sangat Sulit,Tidak,4,1000000,5,Tidak,"Puncak tertinggi, Candi kuno",Melintasi padang edelweis,"Penyewaan alat camping, Warung",Dekat jalan raya utama,Hutan hijau lebat,Hindari Musim Hujan,4.0
32,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sulit,Tidak,2,600000,5,Ya,Pasir vulkanik,"Medan terbuka tanpa naungan, Jalur berpasir vulkanik","Mushola, Penginapan sederhana, Petugas siaga",Membutuhkan ojek lokal,Pemandangan danau,Hindari Musim Hujan,3.7
33,Argopuro,Probolinggo; Lumajang; Jember; Bondowoso; Situbondo,3088,Sangat Sulit,Tidak,5,900000,5,Tidak,"Lautan pasir, Puncak kembar, Hutan pinus","Melewati sungai kecil, Jalur licin saat hujan, Tangga alami","Jasa porter, Area camping",Dekat jalan raya utama,Pemandangan kawah,Hindari Musim Hujan,4.4
34,Semeru,Malang; Lumajang,3676,Sangat Sulit,Tidak,5,1500000,5,Tidak,"Puncak ikonik, Bukit savana","Variasi medan dataran rendah, Hutan lebat dan lembab","Area parkir, Jasa porter, Basecamp dasar",Jalur pedesaan yang sempit,Pemandangan laut,Sepanjang Tahun,5.0
35,Bromo,Probolinggo; Lumajang; Malang,2329,Mudah,Ya,2,150000,2,Tidak,Hutan pinus,"Tangga alami, Jalur landai","Shelter, Mushola",Dekat jalan raya utama,Pemandangan perkebunan,Musim Kemarau Awal,5.0
36,Arjuno,Malang,3339,Sulit,Tidak,2,600000,3,Tergantung Musim,"Puncak ikonik, Air terjun alami, Kawah aktif",Variasi medan dataran rendah,Area parkir,"Akses sulit, perlu off-road",Savana,Musim Semi,4.3
37,Berungkal,Lumajang,1040,Sangat Mudah,Tidak,1,100000,0,Tidak,"Banyak air terjun kecil, Adat istiadat unik, Candi kuno","Medan berbatu, Melintasi padang edelweis","Penyewaan alat camping, Area camping","Akses sulit, perlu off-road",Sunset view,Musim Semi,3.1
38,Kawi,Malang,2551,Sedang,Tidak,2,250000,4,Tidak,"Puncak tertinggi, Hamparan savana","Variasi medan dataran rendah, Jalur curam di beberapa titik, Trek berbatu",Pusat informasi,Dekat jalan raya utama,Sunset view,Sepanjang Tahun,3.7
39,Berungkal,Lumajang,1040,Mudah,Ya,2,150000,3,Tidak,"Danau kawah, Hamparan savana, Kawah vulkanik","Jalur aman dan terpelihara, Tanjakan terjal","Penginapan sederhana, Toilet, Shelter",Jalur pedesaan yang sempit,Savana,Kemarau,3.4
40,Butak,Malang; Blitar,2868,Sulit,Tidak,3,750000,4,Ya,"Danau alami, Candi kuno",Tangga alami,"Jasa porter, Sumber air, Penginapan sederhana",Membutuhkan ojek lokal,Sunset view,Musim Kemarau Awal,4.0
41,Lawu,Magetan,3265,Sangat Sulit,Tidak,5,900000,4,Tidak,"Adat istiadat unik, Gurun pasir","Variasi medan dataran rendah, Melintasi jalur rel kereta api tua","Shelter, Warung","Akses sulit, perlu off-road",Savana,Kemarau,4.9
42,Betiri,Jember; Banyuwangi,1233,Sangat Mudah,Tidak,1,100000,0,Tidak,Budaya lokal kental,"Jalur licin saat hujan, Medan berbatu, Jalur berlumpur",Shelter,"Akses sulit, perlu off-road",Pemandangan laut,Musim Kemarau Awal,3.1
43,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,1,300000,1,Tidak,"Candi kuno, Spot sunrise terbaik, Jalur alternatif","Tangga alami, Melintasi jalur rel kereta api tua, Jalur curam di beberapa titik","Sumber air, Basecamp dasar",Jalur pedesaan yang sempit,Sunset view,Musim Kemarau Awal,3.1
44,Semeru,Malang; Lumajang,3676,Sangat Sulit,Tidak,5,1000000,4,Tidak,Flora dan fauna unik,Jalur berpasir vulkanik,"Jasa porter, Basecamp dasar",Membutuhkan ojek lokal,Pemandangan danau,Hindari Musim Hujan,4.9
45,Raung,Bondowoso; Jember; Banyuwangi,3244,Sulit,Tidak,2,600000,4,Tergantung Musim,Danau alami,Jalur panjang dan melelahkan,"Pusat informasi, Basecamp dasar, Penginapan sederhana",Jalur pedesaan yang sempit,Pemandangan pegunungan,Musim Semi,4.5
46,Penanggungan,Mojokerto; Pasuruan,1653,Sedang,Tidak,2,250000,3,Tidak,Panorama kota,"Medan terbuka tanpa naungan, Melintasi jalur rel kereta api tua",Jasa porter,Membutuhkan kendaraan pribadi,Savana,Hindari Musim Hujan,4.5
47,Panderman,Batu,2045,Mudah,Ya,2,150000,1,Tidak,Adat istiadat unik,"Medan terbuka tanpa naungan, Area padang rumput, Melintasi padang edelweis",Penyewaan alat camping,Membutuhkan ojek lokal,Pemandangan pegunungan,Hindari Musim Hujan,3.4
48,Kawi,Malang,2551,Sulit,Tidak,2,750000,3,Ya,Pemandangan kota dari ketinggian,"Tanjakan terjal, Jalur licin saat hujan","Basecamp dasar, Jasa porter, Warung",Jalur pedesaan yang sempit,Sunset view,Sepanjang Tahun,4.0
49,Panderman,Batu,2045,Mudah,Ya,2,250000,1,Tidak,"Pemandangan sunrise, Puncak kembar, Adat istiadat unik","Tanjakan terjal, Tangga alami, Medan terbuka tanpa naungan","Penyewaan alat camping, Area camping",Membutuhkan ojek lokal,Sunset view,Kemarau,4.0
50,Betiri,Jember; Banyuwangi,1233,Mudah,Ya,2,300000,1,Tidak,"Banyak air terjun kecil, Jalur alternatif, Adat istiadat unik",Melintasi jalur rel kereta api tua,"Mushola, Area parkir",Jalur pedesaan yang sempit,Pemandangan pegunungan,Musim Kemarau Awal,3.0
51,Kawi,Malang,2551,Sedang,Ya,2,450000,2,Tidak,"Hutan pinus, City lights",Medan berbatu,"Shelter, Penyewaan alat camping",Dekat jalan raya utama,Pemandangan perkebunan,Musim Semi,4.0
52,Biser,Bondowoso; Situbondo,1359,Sangat Mudah,Tidak,1,100000,1,Tidak,"Pemandangan kawah, Puncak ikonik, Banyak air terjun kecil",Jalur berpasir vulkanik,"Basecamp dasar, Area camping, Sumber air",Dekat jalan raya utama,Pemandangan danau,Musim Kemarau Awal,2.3
53,Ranti,Bondowoso; Banyuwangi,2601,Sulit,Tidak,3,600000,4,Ya,"Savana hijau, Hutan lebat","Jalur aman dan terpelihara, Variasi medan dataran rendah","Pos pendakian lengkap, Toilet, Sumber air",Membutuhkan kendaraan pribadi,Savana,Hindari Musim Hujan,3.4
54,Argoyayang,Jombang; Malang,2162,Mudah,Ya,1,300000,3,Tidak,Jalur utama,Melintasi padang edelweis,Pusat informasi,Mudah dijangkau kendaraan umum,Pemandangan kawah,Musim Kemarau Awal,2.6
55,Bromo,Probolinggo; Lumajang; Malang,2329,Sedang,Tidak,2,350000,3,Tidak,"Pasir vulkanik, Kawah aktif, Budaya lokal kental","Jalur curam di beberapa titik, Jalur berlumpur","Jasa porter, Mushola, Penyewaan alat camping",Jalur pedesaan yang sempit,Hutan hijau lebat,Musim Kemarau Awal,4.8
56,Betiri,Jember; Banyuwangi,1233,Mudah,Ya,2,250000,3,Tidak,"Kawah belerang, Jalur utama","Hutan lebat dan lembab, Beberapa tanjakan curam","Sumber air, Jasa porter, Penginapan sederhana","Akses sulit, perlu off-road",Pemandangan kota,Musim Kemarau Awal,2.3
57,Argoyayang,Jombang; Malang,2162,Mudah,Ya,2,300000,2,Tidak,"Panorama kota, Puncak ikonik","Area padang rumput, Trek berbatu","Petugas siaga, Toilet, Shelter","Akses sulit, perlu off-road",Pemandangan danau,Kemarau,2.9
58,Semeru,Malang; Lumajang,3676,Sangat Sulit,Tidak,3,1500000,4,Tidak,"City lights, Jalur alternatif","Melintasi jalur rel kereta api tua, Jalur curam di beberapa titik","Basecamp dasar, Area camping, Area parkir",Membutuhkan kendaraan pribadi,Hutan hijau lebat,Kemarau,5.0
59,Welirang,Batu; Pasuruan; Mojokerto,3156,Sangat Sulit,Tidak,5,1000000,7,Tidak,"Air terjun tersembunyi, Pemandangan sunrise, Jalur populer",Melewati sungai kecil,Shelter,Jalur pedesaan yang sempit,Pemandangan laut,Kemarau,4.1
60,Argopuro,Probolinggo; Lumajang; Jember; Bondowoso; Situbondo,3088,Sulit,Tidak,2,400000,5,Ya,"Danau kawah, Jalur alternatif, Pasir vulkanik","Area padang rumput, Banyak bonus pemandangan",Toilet,Mudah dijangkau kendaraan umum,Pemandangan kawah,Musim Kemarau Awal,4.1
61,Kelud,Kediri; Blitar; Malang,1731,Sedang,Tidak,1,250000,3,Tergantung Musim,"Air terjun alami, Pemandangan kota dari ketinggian","Jalur berlumpur, Jalur berpasir vulkanik","Warung, Mushola, Penyewaan alat camping",Jalur pedesaan yang sempit,Pemandangan danau,Musim Semi,3.7
62,Berungkal,Lumajang,1040,Mudah,Ya,1,250000,2,Tidak,"Situs purbakala, Kawah belerang, Air terjun alami",Area padang rumput,"Pos pendakian lengkap, Warung","Akses sulit, perlu off-road",Pemandangan laut,Musim Kemarau Awal,2.9
63,Bromo,Probolinggo; Lumajang; Malang,2329,Mudah,Ya,1,250000,1,Tidak,"Padang savana luas, View matahari terbit, Gurun pasir","Jalur berpasir vulkanik, Variasi medan dataran rendah, Trek berbatu","Toilet, Sumber air, Mushola",Jalur pedesaan yang sempit,Hutan hijau lebat,Musim Kemarau Awal,4.4
64,Raung,Bondowoso; Jember; Banyuwangi,3244,Sulit,Tidak,3,400000,4,Tergantung Musim,"Gurun pasir, Adat istiadat unik",Tanjakan terjal,"Penyewaan alat camping, Area camping",Membutuhkan ojek lokal,Pemandangan pegunungan,Kemarau,4.9
65,Welirang,Batu; Pasuruan; Mojokerto,3156,Sangat Sulit,Tidak,5,900000,7,Tidak,Danau kawah,"Jalur berpasir vulkanik, Jalur landai, Tangga alami","Shelter, Area camping",Mudah dijangkau kendaraan umum,Hutan hijau lebat,Hindari Musim Hujan,3.9
66,Argopuro,Probolinggo; Lumajang; Jember; Bondowoso; Situbondo,3088,Sangat Sulit,Tidak,4,900000,6,Tidak,"Adat istiadat unik, Candi kuno","Jalur berpasir vulkanik, Variasi medan dataran rendah, Jalur berlumpur","Mushola, Area camping","Akses sulit, perlu off-road",Pemandangan perkebunan,Sepanjang Tahun,4.4
67,Kelud,Kediri; Blitar; Malang,1731,Mudah,Ya,1,250000,3,Tidak,Hutan lebat,"Jalur aman dan terpelihara, Medan terbuka tanpa naungan","Toilet, Penyewaan alat camping",Membutuhkan kendaraan pribadi,Pemandangan kota,Sepanjang Tahun,4.0
68,Arjuno,Malang,3339,Sulit,Tidak,3,750000,3,Tergantung Musim,"Pemandangan sunrise, Ranu Kumbolo, Situs purbakala","Jalur berpasir vulkanik, Melintasi padang edelweis","Jasa porter, Area camping, Petugas siaga",Membutuhkan kendaraan pribadi,Pemandangan kawah,Sepanjang Tahun,4.0
69,Semeru,Malang; Lumajang,3676,Sulit,Tidak,2,400000,4,Ya,Jalur populer,Melewati sungai kecil,"Area camping, Shelter",Dekat jalan raya utama,Pemandangan laut,Hindari Musim Hujan,4.9
70,Baluran,Situbondo,1247,Sangat Mudah,Tidak,1,200000,2,Tidak,"Kawah aktif, Jalur menantang, Danau kawah","Tanjakan terjal, Jalur licin saat hujan, Jalur curam di beberapa titik","Basecamp dasar, Area parkir",Membutuhkan ojek lokal,Pemandangan kota,Hindari Musim Hujan,4.0
71,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,1,300000,3,Tidak,"Puncak ikonik, Panorama kota","Melewati sungai kecil, Jalur curam di beberapa titik, Jalur landai",Pos pendakian lengkap,Membutuhkan kendaraan pribadi,Pemandangan perkebunan,Musim Semi,3.3
72,Panderman,Batu,2045,Mudah,Ya,1,300000,1,Tidak,"Kawah belerang, Pemandangan kota dari ketinggian, Hamparan savana","Mendaki punggungan bukit, Jalur licin saat hujan","Toilet, Penyewaan alat camping, Jasa porter","Akses sulit, perlu off-road",Pemandangan perkebunan,Sepanjang Tahun,4.0
73,Kelud,Kediri; Blitar; Malang,1731,Mudah,Ya,2,150000,1,Tidak,Peninggalan sejarah,Jalur aman dan terpelihara,"Pos pendakian lengkap, Penginapan sederhana, Mushola",Membutuhkan kendaraan pribadi,Pemandangan danau,Sepanjang Tahun,4.4
74,Biser,Bondowoso; Situbondo,1359,Mudah,Ya,2,150000,2,Tidak,Pasir vulkanik,Medan terbuka tanpa naungan,Toilet,Membutuhkan ojek lokal,Hutan hijau lebat,Kemarau,2.6
75,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sulit,Tidak,3,600000,5,Tergantung Musim,"Kawah vulkanik, Bukit savana, Gurun pasir","Jalur licin saat hujan, Jalur aman dan terpelihara, Tangga alami","Penginapan sederhana, Shelter",Dekat jalan raya utama,Pemandangan laut,Musim Kemarau Awal,3.4
76,Biser,Bondowoso; Situbondo,1359,Mudah,Ya,1,150000,3,Tidak,"Air terjun alami, Artefak kuno, Adat istiadat unik","Medan terbuka tanpa naungan, Jalur panjang dan melelahkan, Trek berbatu",Area parkir,Mudah dijangkau kendaraan umum,Sunset view,Musim Semi,2.6
77,Arjuno,Malang,3339,Sangat Sulit,Tidak,4,1000000,6,Tidak,Panorama kota,"Jalur aman dan terpelihara, Banyak bonus pemandangan, Jalur curam di beberapa titik","Pos pendakian lengkap, Warung, Pusat informasi",Membutuhkan kendaraan pribadi,Sunset view,Musim Kemarau Awal,4.0
78,Ijen,Banyuwangi,2386,Mudah,Ya,1,250000,2,Tidak,"Puncak kembar, Hutan hujan tropis",Banyak bonus pemandangan,Jasa porter,Dekat jalan raya utama,Sunset view,Sepanjang Tahun,4.5
79,Argoyayang,Jombang; Malang,2162,Mudah,Ya,2,300000,1,Tidak,Flora dan fauna unik,"Melintasi jalur rel kereta api tua, Hutan lebat dan lembab",Warung,"Akses sulit, perlu off-road",Pemandangan danau,Kemarau,3.0
80,Blorobrubuh,Mojokerto,2282,Sedang,Ya,1,350000,3,Tidak,"Pasir vulkanik, Banyak air terjun kecil, Artefak kuno","Melintasi padang edelweis, Tanjakan terjal, Beberapa tanjakan curam",Pos pendakian lengkap,Membutuhkan ojek lokal,Pemandangan perkebunan,Kemarau,3.4
81,Kawi,Malang,2551,Sedang,Tidak,1,250000,3,Tergantung Musim,"Pemandangan kota dari ketinggian, Adat istiadat unik, Puncak kembar","Variasi medan dataran rendah, Beberapa tanjakan curam",Basecamp dasar,"Akses sulit, perlu off-road",Pemandangan kota,Sepanjang Tahun,3.7
82,Raung,Bondowoso; Jember; Banyuwangi,3244,Sulit,Tidak,3,400000,4,Ya,"Jalur alternatif, Bukit savana",Medan berbatu,"Shelter, Area camping, Pos pendakian lengkap",Membutuhkan kendaraan pribadi,Pemandangan pegunungan,Kemarau,4.8
83,Anjasmoro,Jombang; Mojokerto; Kediri; Malang; Batu,2282,Mudah,Ya,1,150000,3,Tidak,Banyak air terjun kecil,"Jalur aman dan terpelihara, Jalur curam di beberapa titik",Shelter,Membutuhkan ojek lokal,Pemandangan danau,Musim Semi,3.3
84,Argopuro,Probolinggo; Lumajang; Jember; Bondowoso; Situbondo,3088,Sangat Sulit,Tidak,3,900000,7,Tidak,"Situs purbakala, Adat istiadat unik","Jalur aman dan terpelihara, Area padang rumput",Penginapan sederhana,Mudah dijangkau kendaraan umum,Hutan hijau lebat,Musim Kemarau Awal,4.5
85,Kawi,Malang,2551,Sulit,Tidak,2,400000,3,Ya,"Adat istiadat unik, Pemandangan kawah, Danau alami","Tanjakan terjal, Jalur licin saat hujan, Mendaki punggungan bukit","Pos pendakian lengkap, Basecamp dasar, Area parkir",Mudah dijangkau kendaraan umum,Pemandangan kawah,Kemarau,3.7
86,Suket,Bondowoso; Banyuwangi,2950,Sedang,Tidak,1,250000,2,Tidak,View matahari terbit,"Trek berbatu, Hutan lebat dan lembab","Penginapan sederhana, Jasa porter",Membutuhkan ojek lokal,Pemandangan kota,Musim Semi,2.8
87,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sedang,Ya,1,350000,3,Tergantung Musim,"Danau indah, Air terjun tersembunyi","Trek berbatu, Area padang rumput","Mushola, Pos pendakian lengkap","Akses sulit, perlu off-road",Pemandangan kota,Hindari Musim Hujan,4.2
88,Semeru,Malang; Lumajang,3676,Sulit,Tidak,3,600000,4,Ya,"Danau indah, Lautan pasir, Jalur populer","Hutan lebat dan lembab, Beberapa tanjakan curam, Medan terbuka tanpa naungan","Toilet, Penginapan sederhana",Membutuhkan kendaraan pribadi,Pemandangan laut,Musim Kemarau Awal,4.8
89,Panderman,Batu,2045,Sedang,Tidak,1,350000,3,Tergantung Musim,Bukit savana,"Jalur curam di beberapa titik, Hutan lebat dan lembab",Sumber air,Membutuhkan ojek lokal,Pemandangan kawah,Musim Kemarau Awal,3.7
90,Semeru,Malang; Lumajang,3676,Sangat Sulit,Tidak,4,1500000,4,Tidak,"Air terjun alami, Jalur utama, Matahari terbit","Variasi medan dataran rendah, Jalur curam di beberapa titik","Basecamp dasar, Mushola",Jalur pedesaan yang sempit,Hutan hijau lebat,Kemarau,4.7
91,Raung,Bondowoso; Jember; Banyuwangi,3244,Sangat Sulit,Tidak,4,700000,4,Tidak,Jalur alternatif,Tanjakan terjal,Mushola,Mudah dijangkau kendaraan umum,Pemandangan danau,Musim Kemarau Awal,4.3
92,Semeru,Malang; Lumajang,3676,Sulit,Tidak,3,750000,5,Ya,"Budaya lokal kental, Pemandangan sunrise","Jalur curam di beberapa titik, Medan terbuka tanpa naungan",Penyewaan alat camping,"Akses sulit, perlu off-road",Pemandangan kawah,Musim Semi,4.5
93,Argopuro,Probolinggo; Lumajang; Jember; Bondowoso; Situbondo,3088,Sulit,Tidak,3,400000,4,Tergantung Musim,Pasir vulkanik,"Jalur landai, Tanjakan terjal","Penyewaan alat camping, Warung, Jasa porter","Akses sulit, perlu off-road",Pemandangan pegunungan,Musim Semi,4.1
94,Raung,Bondowoso; Jember; Banyuwangi,3244,Sangat Sulit,Tidak,5,700000,4,Tidak,View matahari terbit,"Jalur berpasir vulkanik, Melintasi jalur rel kereta api tua","Sumber air, Toilet",Membutuhkan ojek lokal,Pemandangan danau,Musim Kemarau Awal,4.4
95,Biser,Bondowoso; Situbondo,1359,Sangat Mudah,Tidak,1,100000,0,Tidak,"Padang savana luas, Air terjun tersembunyi",Trek berbatu,"Sumber air, Penyewaan alat camping",Membutuhkan kendaraan pribadi,Savana,Musim Semi,2.5
