Gunung_ID,Nama_Gunung,Ketinggian_MDPL,Lokasi_Kabupaten_Utama,Tingkat_Kesulitan_Pendakian,Cocok_Untuk_Pemula,Durasi_Pendakian_Hari_RataRata,Budget_Per_Orang_Rupiah_RataRata,Rating_Rata_Rata,Deskripsi_Lengkap_Gunung
11,Batok,2440,Malang,Sedang,Tidak,1,100000,3.9,"Fitur utama objek wisata: sumber air panas alami. Karakteristik jalur: melewati sungai kecil yang jernih, area padang rumput yang indah, melintasi padang edelweis yang luas. Fasilitas basecamp: penginapan sederhana, toilet bersih. Akses transportasi: membutuhkan kendaraan pribadi. Pemandangan utama: pemandangan kota dari ketinggian. Musim terbaik kunjungan: hindari musim hujan. Keberadaan sumber air: tidak. Tingkat kesulitan pendakian: sedang. Cocok untuk pemula: tidak. Ketinggian: 2440 mdpl. Durasi pendakian rata-rata: 2 hari. Budget per orang rata-rata: 450000 rupiah. Jumlah pos pendakian rata-rata: 2 pos. Rating rata-rata: 3.9."
12,Anjasmoro,2282,Mojokerto,Sedang,Tidak,1,20000,3.7,"Fitur utama objek wisata: sumber air panas alami, hamparan bunga edelweis. Karakteristik jalur: tanjakan terjal sepanjang jalur, mendaki punggungan bukit yang panjang, hutan pinus yang sejuk. Fasilitas basecamp: petugas siaga 24 jam. Akses transportasi: mudah dijangkau kendaraan umum. Pemandangan utama: pemandangan pegunungan yang megah. Musim terbaik kunjungan: kemarau. Keberadaan sumber air: tergantung musim. Tingkat kesulitan pendakian: sedang. Cocok untuk pemula: tidak. Ketinggian: 2282 mdpl. Durasi pendakian rata-rata: 2 hari. Budget per orang rata-rata: 600000 rupiah. Jumlah pos pendakian rata-rata: 3 pos. Rating rata-rata: 3.7."
13,Boklorobrubuh,2230,Mojokerto,Sedang,Tidak,1,15000,3.2,"Fitur utama objek wisata: kawah aktif. Karakteristik jalur: jalur aman dan terpelihara, hutan pinus yang sejuk. Fasilitas basecamp: sumber air bersih. Akses transportasi: akses sulit, perlu kendaraan off-road. Pemandangan utama: pemandangan danau yang tenang. Musim terbaik kunjungan: sepanjang tahun. Keberadaan sumber air: tergantung musim. Tingkat kesulitan pendakian: sedang. Cocok untuk pemula: tidak. Ketinggian: 2282 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 600000 rupiah. Jumlah pos pendakian rata-rata: 4 pos. Rating rata-rata: 3.2."
14,Butak,2868,Blitar,Mudah,Ya,1,10000,3.6,Fitur utama objek wisata: perkebunan teh yang indah. Karakteristik jalur: jalur aman dan terpelihara. Fasilitas basecamp: mushola. Akses transportasi: dekat jalan raya utama. Pemandangan utama: pemandangan blue fire. Musim terbaik kunjungan: hindari musim hujan. Keberadaan sumber air: tidak. Tingkat kesulitan pendakian: sulit. Cocok untuk pemula: tidak. Ketinggian: 2868 mdpl. Durasi pendakian rata-rata: 2 hari. Budget per orang rata-rata: 700000 rupiah. Jumlah pos pendakian rata-rata: 4 pos. Rating rata-rata: 3.6.
15,Liman,2563,Ponorogo,Sedang,Ya,1,15000,3.4,"Fitur utama objek wisata: kawah aktif, air terjun tersembunyi. Karakteristik jalur: tanjakan terjal sepanjang jalur, jalur aman dan terpelihara, melewati sungai kecil yang jernih. Fasilitas basecamp: jasa porter, basecamp dasar dengan fasilitas memadai, warung makan. Akses transportasi: akses sulit, perlu kendaraan off-road. Pemandangan utama: pemandangan laut yang biru. Musim terbaik kunjungan: kemarau. Keberadaan sumber air: ada. Tingkat kesulitan pendakian: sulit. Cocok untuk pemula: tidak. Ketinggian: 2563 mdpl. Durasi pendakian rata-rata: 3 hari. Budget per orang rata-rata: 900000 rupiah. Jumlah pos pendakian rata-rata: 6 pos. Rating rata-rata: 3.4."
16,Pandan,903,Madiun,Mudah,Ya,1,20000,3,"Fitur utama objek wisata: view sunset, gurun pasir luas. Karakteristik jalur: hutan pinus yang sejuk. Fasilitas basecamp: penyewaan alat camping, shelter untuk bermalam, warung makan. Akses transportasi: membutuhkan kendaraan pribadi. Pemandangan utama: pemandangan pegunungan yang megah. Musim terbaik kunjungan: kemarau. Keberadaan sumber air: ada. Tingkat kesulitan pendakian: mudah. Cocok untuk pemula: ya. Ketinggian: 903 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 200000 rupiah. Jumlah pos pendakian rata-rata: 0 pos. Rating rata-rata: 3.0."
17,Penanggungan,1653,Mojokerto,Sedang,Ya,1,20000,4.1,"Fitur utama objek wisata: lautan pasir vulkanik, desa adat yang kental. Karakteristik jalur: area padang rumput yang indah, jalur curam di beberapa titik. Fasilitas basecamp: petugas siaga 24 jam, jasa porter. Akses transportasi: akses sulit, perlu kendaraan off-road. Pemandangan utama: pemandangan laut yang biru. Musim terbaik kunjungan: musim kemarau awal. Keberadaan sumber air: tidak. Tingkat kesulitan pendakian: sedang. Cocok untuk pemula: tidak. Ketinggian: 1653 mdpl. Durasi pendakian rata-rata: 2 hari. Budget per orang rata-rata: 250000 rupiah. Jumlah pos pendakian rata-rata: 2 pos. Rating rata-rata: 4.1."
18,Berungkal,1040,Lumajang,Mudah,Ya,1,20000,2.9,"Fitur utama objek wisata: kawah biru abadi, vegetasi hutan lebat. Karakteristik jalur: jalur curam di beberapa titik, jalur berlumpur saat musim hujan, trek panjang dan melelahkan. Fasilitas basecamp: pusat informasi pendakian, basecamp dasar dengan fasilitas memadai. Akses transportasi: melalui jalur pedesaan yang sempit. Pemandangan utama: pemandangan pegunungan yang megah. Musim terbaik kunjungan: musim semi. Keberadaan sumber air: tergantung musim. Tingkat kesulitan pendakian: mudah. Cocok untuk pemula: ya. Ketinggian: 1040 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 100000 rupiah. Jumlah pos pendakian rata-rata: 2 pos. Rating rata-rata: 2.9."
19,Penanjakan,2329,Pasuruan,Mudah,Ya,1,30000,4.6,Fitur utama objek wisata: sumber air panas alami. Karakteristik jalur: area padang rumput yang indah. Fasilitas basecamp: toilet bersih. Akses transportasi: dekat jalan raya utama. Pemandangan utama: panorama sunset yang memukau. Musim terbaik kunjungan: musim semi. Keberadaan sumber air: ada. Tingkat kesulitan pendakian: sedang. Cocok untuk pemula: tidak. Ketinggian: 2329 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 350000 rupiah. Jumlah pos pendakian rata-rata: 3 pos. Rating rata-rata: 4.6.
20,Ranti,2601,Banyuwangi,Sedang,Ya,1,20000,3.3,"Fitur utama objek wisata: situs bersejarah kuno, kaldera raksasa. Karakteristik jalur: trek berpasir vulkanik yang menantang. Fasilitas basecamp: petugas siaga 24 jam, penginapan sederhana. Akses transportasi: membutuhkan kendaraan pribadi. Pemandangan utama: hamparan savana yang luas. Musim terbaik kunjungan: sepanjang tahun. Keberadaan sumber air: ada. Tingkat kesulitan pendakian: sulit. Cocok untuk pemula: tidak. Ketinggian: 2601 mdpl. Durasi pendakian rata-rata: 4 hari. Budget per orang rata-rata: 900000 rupiah. Jumlah pos pendakian rata-rata: 6 pos. Rating rata-rata: 3.3."
21,Suket,2950,Bondowoso,Sulit,Tidak,1,30000,3.1,"Fitur utama objek wisata: lautan pasir vulkanik, pusat informasi pendakian, puncak ikonik. Karakteristik jalur: tanjakan terjal sepanjang jalur. Fasilitas basecamp: shelter untuk bermalam, mushola, warung makan. Akses transportasi: membutuhkan kendaraan pribadi. Pemandangan utama: panorama sunset yang memukau. Musim terbaik kunjungan: musim kemarau awal. Keberadaan sumber air: ada. Tingkat kesulitan pendakian: sulit. Cocok untuk pemula: tidak. Ketinggian: 2950 mdpl. Durasi pendakian rata-rata: 2 hari. Budget per orang rata-rata: 1500000 rupiah. Jumlah pos pendakian rata-rata: 5 pos. Rating rata-rata: 3.1."
22,Argowayang,2162,Malang,Sedang,Tidak,1,35000,3,"Fitur utama objek wisata: perkebunan teh yang indah, kaldera raksasa. Karakteristik jalur: trek panjang dan melelahkan. Fasilitas basecamp: shelter untuk bermalam, toilet bersih, basecamp dasar dengan fasilitas memadai. Akses transportasi: mudah dijangkau kendaraan umum. Pemandangan utama: pemandangan kawah yang eksotis. Musim terbaik kunjungan: musim kemarau awal. Keberadaan sumber air: tergantung musim. Tingkat kesulitan pendakian: sedang. Cocok untuk pemula: tidak. Ketinggian: 2162 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 350000 rupiah. Jumlah pos pendakian rata-rata: 3 pos. Rating rata-rata: 3.0."
23,Welirang,3156,Mojokerto,Sulit,Tidak,1,33000,4,"Fitur utama objek wisata: hamparan bunga edelweis, lautan pasir vulkanik. Karakteristik jalur: trek berpasir vulkanik yang menantang, jalur berlumpur saat musim hujan. Fasilitas basecamp: area camping yang nyaman. Akses transportasi: mudah dijangkau kendaraan umum. Pemandangan utama: pemandangan pegunungan yang megah. Musim terbaik kunjungan: kemarau. Keberadaan sumber air: tergantung musim. Tingkat kesulitan pendakian: sulit. Cocok untuk pemula: tidak. Ketinggian: 3156 mdpl. Durasi pendakian rata-rata: 4 hari. Budget per orang rata-rata: 1200000 rupiah. Jumlah pos pendakian rata-rata: 4 pos. Rating rata-rata: 4.0."
24,Wilis,2563,Ponorogo,Sedang,Ya,1,15000,3.9,"Fitur utama objek wisata: kawah aktif, pemandangan matahari terbit yang spektakuler. Karakteristik jalur: medan terbuka tanpa naungan. Fasilitas basecamp: mushola, penginapan sederhana, area camping yang nyaman. Akses transportasi: dekat jalan raya utama. Pemandangan utama: pemandangan blue fire. Musim terbaik kunjungan: kemarau. Keberadaan sumber air: tidak. Tingkat kesulitan pendakian: sulit. Cocok untuk pemula: tidak. Ketinggian: 2563 mdpl. Durasi pendakian rata-rata: 2 hari. Budget per orang rata-rata: 700000 rupiah. Jumlah pos pendakian rata-rata: 7 pos. Rating rata-rata: 3.9."
25,Betiri,1233,Jember,Mudah,Ya,1,30000,2.7,"Fitur utama objek wisata: flora dan fauna endemik, air terjun tersembunyi. Karakteristik jalur: jalur landai yang nyaman. Fasilitas basecamp: toilet bersih. Akses transportasi: dekat jalan raya utama. Pemandangan utama: pemandangan kawah yang eksotis. Musim terbaik kunjungan: hindari musim hujan. Keberadaan sumber air: tergantung musim. Tingkat kesulitan pendakian: mudah. Cocok untuk pemula: ya. Ketinggian: 1233 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 150000 rupiah. Jumlah pos pendakian rata-rata: 2 pos. Rating rata-rata: 2.7."
26,Raung,3244,Bondowoso,Sulit,Tidak,3,20000,4.6,"Fitur utama objek wisata: pemandangan matahari terbit yang spektakuler. Karakteristik jalur: trek panjang dan melelahkan, jalur aman dan terpelihara, medan terbuka tanpa naungan. Fasilitas basecamp: penginapan sederhana. Akses transportasi: dekat jalan raya utama. Pemandangan utama: pemandangan kota dari ketinggian. Musim terbaik kunjungan: kemarau. Keberadaan sumber air: ada. Tingkat kesulitan pendakian: sulit. Cocok untuk pemula: tidak. Ketinggian: 3244 mdpl. Durasi pendakian rata-rata: 4 hari. Budget per orang rata-rata: 1200000 rupiah. Jumlah pos pendakian rata-rata: 4 pos. Rating rata-rata: 4.6."
27,Pegat,343,Blitar,Mudah,Ya,1,20000,3.2,"Fitur utama objek wisata: panorama hutan hujan, pemandangan alam pedesaan. Karakteristik jalur: sangat landai dan pendek. Fasilitas basecamp: terbatas, hanya tempat parkir dan warung. Akses transportasi: sangat mudah dijangkau. Pemandangan utama: vegetasi lebat dan aliran sungai. Musim terbaik kunjungan: sepanjang tahun. Keberadaan sumber air: ada. Tingkat kesulitan pendakian: mudah. Cocok untuk pemula: ya."
28,Bokong,1746,Batu,Mudah,Ya,1,25000,4.1,"Fitur utama objek wisata: panorama hutan hujan, pemandangan alam pedesaan. Karakteristik jalur: sangat landai dan pendek. Fasilitas basecamp: terbatas, hanya tempat parkir dan warung. Akses transportasi: sangat mudah dijangkau. Pemandangan utama: vegetasi lebat dan aliran sungai. Musim terbaik kunjungan: sepanjang tahun. Keberadaan sumber air: ada. Tingkat kesulitan pendakian: mudah. Cocok untuk pemula: ya."
29,Piramid,1521,Bondowoso,Sulit,Tidak,2,20000,4.6,"Fitur utama objek wisata: puncak berbentuk unik seperti piramida. Karakteristik jalur: curam, berbatu, dan licin saat hujan. Fasilitas basecamp: minimalis, hanya tempat parkir dan pos registrasi. Akses transportasi: relatif mudah. Pemandangan utama: formasi batuan unik dan kabut tebal. Musim terbaik kunjungan: kemarau. Keberadaan sumber air: tidak tersedia. Tingkat kesulitan pendakian: sulit. Cocok untuk pemula: tidak."
30,Budeg,550,Tulungagung,Mudah,Ya,1,10000,3.3,Fitur utama objek wisata: panorama kota Tulungagung dari atas. Karakteristik jalur: pendek dan landai. Fasilitas basecamp: tempat parkir dan warung. Akses transportasi: sangat mudah dijangkau. Pemandangan utama: lanskap kota dan perbukitan. Musim terbaik kunjungan: sepanjang tahun. Keberadaan sumber air: tidak tersedia. Tingkat kesulitan pendakian: mudah. Cocok untuk pemula: ya.
